,target,output,question
0,office,"bedroom, hallway, garden, office, kitchen, garden, office, kitchen, garden, kitchen,",Where was the apple before the bathroom? 
1,office,"bedroom, park, cinema, cinema, office, office, cinema, office, bedroom, office,",Where was the apple before the hallway? 
2,office,"bathroom, office, garden, kitchen, bathroom, garden, office, garden, kitchen, bathroom,",Where was the apple before the hallway? 
3,bathroom,"office, office, kitchen garden, kitchen garden, office, kitchen garden, kitchen garden, office garden",Where was the football before the garden? 
4,bathroom,"office, kitchen, bathroom, bedroom, office, kitchen, bathroom, bedroom, office, kitchen,",Where was the football before the garden? 
5,garden,"bedroom, kitchen, hallway, office, garden, kitchen, bathroom, garden, office, garden,",Where was the apple before the bathroom? 
6,kitchen,"kitchen, bathroom, bedroom, kitchen, bathroom, bedroom, kitchen, bathroom, bedroom, kitchen,",Where was the milk before the office? 
7,kitchen,"kitchen kitchen, bathroom bedroom, bathroom bedroom, kitchen kitchen, bathroom bedroom, bathroom bedroom, kitchen kitchen",Where was the apple before the office? 
8,kitchen,"bedroom, kitchen, bathroom, bedroom, kitchen, bathroom, bedroom, bathroom, bedroom, bathroom,",Where was the apple before the office? 
9,bedroom,"kitchen kitchen, bathroom, bathroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom",Where was the apple before the office? 
10,garden,"office, office, kitchen, bathroom, hallway, bathroom, hallway, bathroom, bathroom, hallway,",Where was the apple before the bedroom? 
11,garden,"kitchen kitchen, bathroom bathroom, hallway bathroom, bathroom bathroom, hallway bathroom bathroom, bathroom bathroom bathroom bathroom",Where was the apple before the bedroom? 
12,garden,"bedroom, hallway hallway, bathroom bathroom, hallway bathroom bathroom, hallway bathroom bathroom bathroom, hallway bathroom bathroom",Where was the milk before the bathroom? 
13,garden,"hallway hallway, bathroom bathroom bathroom hallway, bathroom bathroom hallway, bathroom bathroom hallway, bathroom bathroom hallway,",Where was the milk before the bathroom? 
14,garden,"office office, bedroom, office, bedroom, office, bedroom, office, bedroom, office, bedroom",Where was the milk before the bathroom? 
15,kitchen,"kitchen kitchen, bathroom, bathroom, bedroom, hallway, bathroom, hallway, bathroom, bathroom, bathroom",Where was the football before the garden? 
16,kitchen,"kitchen kitchen, bedroom, hallway, bathroom, hallway bathroom, bathroom bathroom, hallway bathroom bathroom, bathroom",Where was the football before the garden? 
17,garden,"office, office, kitchen, bathroom, office, kitchen, bathroom, bathroom, office, kitchen,",Where was the milk before the bedroom? 
18,garden,"office, office, school, office, office, school, office, office, office, school,",Where was the milk before the bedroom? 
19,bedroom,"bedroom, office, office, office, bathroom, bedroom, office, bathroom, bedroom, office,",Where was the football before the bathroom? 
20,garden,"bathroom, bathroom, bedroom, office, kitchen, bathroom, bedroom, office, kitchen, bathroom,",Where was the football before the hallway? 
21,garden,"hallway bathroom, bathroom, hallway bathroom, bathroom bathroom, hallway bathroom, bathroom bathroom, bathroom bathroom,",Where was the football before the office? 
22,hallway,"bathroom, office, kitchen, bathroom, office, kitchen, bathroom, bathroom, office, kitchen,",Where was the football before the garden? 
23,office,"bathroom, bathroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom",Where was the milk before the kitchen? 
24,kitchen,"hallway hallway, bathroom bathroom, bathroom bathroom hallway, bathroom bathroom hallway, bathroom bathroom bathroom hallway, bathroom",Where was the milk before the bedroom? 
25,bathroom,"kitchen,n,n,n,n,n,n,n,n,n,",Where was the football before the bedroom? 
26,office,"hallway hallway, office, office, kitchen kitchen, bathroom, hallway bathroom, office, kitchen kitchen bathroom",Where was the football before the bedroom? 
27,garden,"bathroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom,",Where was the football before the office? 
28,garden,"bedroom, kitchen, bathroom, hallway, bathroom, hallway, bathroom, bathroom, hallway bathroom, bathroom",Where was the football before the office? 
29,garden,"hallway hallway, bathroom bathroom, bathroom bathroom, hallway bathroom, bathroom bathroom, hallway bathroom, bathroom bathroom",Where was the apple before the office? 
30,bathroom,"kitchen kitchen, bathroom, bathroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom bedroom, bathroom",Where was the apple before the hallway? 
31,office,"bedroom, hallway, bathroom, office, bathroom, hallway, bathroom, office, bathroom, hallway bathroom",Where was the apple before the kitchen? 
32,office,"bedroom, bathroom, hallway, bathroom, hallway, bathroom, bathroom, hallway bathroom, bathroom bathroom,",Where was the apple before the kitchen? 
33,hallway,"kitchen kitchen, hallway bathroom, hallway bathroom, bathroom bathroom, hallway bathroom, bathroom bathroom, bathroom bathroom",Where was the milk before the bedroom? 
34,bedroom,"kitchen kitchen, bedroom, kitchen, bedroom, kitchen, bedroom, kitchen, bedroom, kitchen, bedroom",Where was the milk before the garden? 
35,hallway,"bedroom, kitchen, kitchen, hallway, bathroom, hallway, bathroom, bathroom, hallway, bathroom,",Where was the apple before the bathroom? 
36,hallway,"bedroom, park, park, cinema, office, office, cinema, office, cinema, office,",Where was the football before the kitchen? 
37,bathroom,"bedroom,n,n,n,n,n,n,n,n,n,",Where was the apple before the kitchen? 
38,garden,"garden garden, bathroom bathroom, garden garden, bathroom bathroom garden, garden garden, bathroom bathroom garden,",Where was the apple before the bathroom? 
39,garden,"garden, kitchen garden, kitchen garden, kitchen garden, bathroom garden, kitchen garden, bathroom garden,",Where was the apple before the bathroom? 
40,garden,"bathroom bathroom, bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom",Where was the football before the hallway? 
41,garden,"garden, bathroom, bathroom, garden, bathroom, garden, bathroom, garden, bathroom, garden,",Where was the football before the hallway? 
42,garden,"bedroom, bathroom, bathroom, garden, garden, bathroom bathroom, garden, bathroom bathroom garden, bathroom",Where was the milk before the hallway? 
43,hallway,"hallway garden, garden, kitchen garden, hallway garden, bathroom garden, garden, bathroom garden, garden",Where was the milk before the bathroom? 
44,bathroom,"bathroom bathroom bathroom bedroom, office, bathroom bathroom bedroom, office, bathroom bathroom bedroom, bathroom bathroom bedroom",Where was the football before the hallway? 
45,bedroom,"garden, kitchen garden, kitchen garden, bathroom bathroom garden, kitchen garden, bathroom bathroom garden, kitchen",Where was the apple before the bathroom? 
46,bedroom,"bedroom, office, kitchen, hallway, garden, office, garden, kitchen, bathroom, garden,",Where was the apple before the bathroom? 
47,bedroom,"bedroom, hallway, office, garden, kitchen, garden, office, garden, kitchen, garden,",Where was the apple before the bathroom? 
48,bedroom,"kitchen kitchen, bedroom, hallway bathroom, hallway bathroom, bathroom bathroom, hallway bathroom, bathroom bathroom,",Where was the apple before the bathroom? 
49,bedroom,"bathroom bathroom, bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom",Where was the milk before the hallway? 
50,kitchen,"kitchen kitchen, bathroom bedroom, bathroom, hallway bathroom, bathroom bedroom, hallway bathroom, bathroom bedroom,",Where was the apple before the garden? 
51,garden,"kitchen kitchen, kitchen garden, kitchen garden, kitchen garden, kitchen garden, kitchen garden, kitchen garden",Where was the apple before the bedroom? 
52,garden,"bedroom, bathroom, bathroom, hallway, bathroom, hallway, bathroom, bathroom, bathroom, bathroom,",Where was the football before the kitchen? 
53,bathroom,"kitchen, park, park, kitchen, park, kitchen, park, kitchen, park, kitchen,",Where was the apple before the bedroom? 
54,bathroom,"hallway hallway, bathroom bathroom, bathroom bathroom, hallway bathroom bathroom, bathroom bathroom bathroom hallway, bathroom bathroom",Where was the apple before the bedroom? 
55,office,"bathroom bathroom, bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom bedroom, bathroom bathroom",Where was the football before the hallway? 
56,kitchen,"bedroom, kitchen, hallway, bathroom, garden, kitchen, bathroom, garden, bathroom, garden,",Where was the apple before the office? 
57,office,"kitchen, park, bedroom, park, bedroom, kitchen, park, bedroom, kitchen, park,",Where was the football before the garden? 
58,office,"kitchen,w,w,w,w,w,w,w,w,w,",Where was the football before the bedroom? 
59,garden,"bathroom, bathroom, garden, kitchen garden, bathroom bathroom, garden, kitchen garden, bathroom bathroom garden",Where was the apple before the hallway? 
60,hallway,"hallway, office, office, kitchen, bathroom, hallway, bathroom, office, bathroom, hallway,",Where was the football before the bedroom? 
61,bathroom,"bathroom, bathroom, bedroom, bathroom, bedroom, bathroom, bathroom, bedroom, bathroom, bathroom,",Where was the football before the hallway? 
62,bedroom,"bathroom, bathroom, bedroom, bathroom, bedroom, bathroom, bathroom, bedroom, bathroom, bathroom,",Where was the football before the kitchen? 
63,garden,"kitchen garden, kitchen garden, bathroom bathroom, kitchen garden, bathroom bathroom, kitchen garden, bathroom bathroom",Where was the football before the bathroom? 
64,garden,"hallway hallway, bathroom bathroom, hallway hallway, bathroom bathroom, hallway bathroom bathroom, hallway bathroom bathroom,",Where was the football before the bathroom? 
65,bathroom,"garden, bathroom, hallway, bathroom, garden, bathroom, hallway garden, bathroom bathroom, garden,",Where was the milk before the office? 
66,bathroom,"kitchen kitchen, bathroom, bedroom, bathroom, kitchen, bathroom, bedroom, bathroom, kitchen kitchen,",Where was the milk before the office? 
67,bathroom,hallway bathroom bathroom bathroom bathroom hallway bathroom bathroom bathroom bathroom bathroom hallway bathroom bathroom bathroom bathroom bathroom bathroom bathroom bathroom,Where was the milk before the office? 
