,target,output,question
0,football,"football,football,football,football,football,football,football,football,football,football,",What did Fred give to Jeff? 
1,Fred,"Fred, Fred, Bill, Fred, Bill, Fred, Fred, Bill, Fred, Fred,",Who gave the football to Jeff? 
2,football,"football,football,football,football,football,football,football,football,football,football,",What did Fred give to Jeff? 
3,Jeff,"Fred Fred, Fred Fred, Fred Mary, Fred Fred, Fred Mary, Fred Fred, Fred Fred",Who did Fred give the football to? 
4,Fred,"Fred Fred, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill",Who did Jeff give the football to? 
5,Jeff,"Fred Fred, Bill Bill, Fred, Bill, Fred, Fred, Bill, Fred, Fred,",Who gave the apple? 
6,Bill,"Fred, Bill, Fred, Bill, Fred, Fred, Bill, Fred, Fred, Bill,",Who received the apple? 
7,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Bill give to Fred? 
8,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Bill give to Fred? 
9,Fred,"Fred, Bill, Fred, Bill Bill, Fred, Fred, Bill Bill, Fred, Fred,",Who received the apple? 
10,Mary,"Mary, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred,",Who received the milk? 
11,milk,"milk,football,football,football,football,football,football,football,football,football,",What did Mary give to Bill? 
12,Bill,"Mary, Bill Bill, Bill Bill, Bill Mary, Bill Bill, Bill Bill, Bill Mary,",Who received the milk? 
13,Bill,"Bill Bill, Fred Fred, Fred Fred, Bill Bill, Fred Fred, Fred Fred, Bill Bill",Who did Mary give the milk to? 
14,milk,"milk,football,football,n,n,n,n,n,n,n,",What did Mary give to Bill? 
15,Jeff,"Fred, Mary, Bill, Bill Bill, Fred, Mary, Bill Fred, Bill Bill, Fred",Who received the football? 
16,Fred,"Fred Fred, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill",Who gave the football to Jeff? 
17,football,"football,football,football,football,football,football,football,football,football,football,",What did Fred give to Jeff? 
18,Jeff,"Fred Bill, Fred Fred, Bill Bill, Fred Fred, Fred Fred, Bill Bill, Fred Fred",Who received the football? 
19,Mary,"Mary, Bill Bill, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred,",Who gave the milk? 
20,milk,"milk football,football,football,football,football,football,football,football,football,football",What did Jeff give to Mary? 
21,Mary,"Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred Fred, Fred Bill",Who gave the milk to Jeff? 
22,Mary,"Fred Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred",Who gave the milk to Jeff? 
23,Bill,"Bill Bill, Fred Fred, Fred, Bill, Fred, Fred, Bill, Fred, Fred,",Who gave the apple to Jeff? 
24,Jeff,"Bill Bill, Fred Fred, Fred Fred, Bill Bill, Fred Fred, Fred Fred, Bill Bill",Who gave the apple? 
25,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Jeff give to Fred? 
26,Fred,"Fred Fred, Fred Bill, Fred Mary, Fred Bill, Fred Mary, Fred Bill, Fred Bill",Who received the apple? 
27,Jeff,"Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred",Who received the apple? 
28,Jeff,"Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred",Who gave the apple? 
29,Fred,"Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred",Who did Jeff give the apple to? 
30,Mary,"Bill Bill, Fred Fred, Fred Mary, Bill Bill, Fred Mary, Bill Bill, Fred Fred",Who gave the milk? 
31,Bill,"Mary, Bill Fred Fred Fred, Bill Fred Fred Fred, Bill Fred Fred, Fred Fred Fred,",Who gave the milk? 
32,Bill,"Bill Fred Fred, Bill Bill Fred, Fred Fred, Bill Fred, Fred Fred, Bill Fred,",Who gave the milk to Mary? 
33,milk,"milk,football,football,football,football,football,football,football,football,football,",What did Bill give to Mary? 
34,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Mary give to Fred? 
35,Jeff,"Fred Fred, Fred Bill, Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred Bill",Who did Fred give the milk to? 
36,Jeff,"Mary, Fred Fred Bill Fred, Fred Bill Fred, Fred Bill Fred, Fred Bill Fred, Fred",Who did Fred give the milk to? 
37,milk,"milk milk,football,football,football,football,football,football,football,football,football",What did Jeff give to Mary? 
38,milk,"milk milk,football,football,football,football,football,football,football,football,football",What did Jeff give to Mary? 
39,Fred,"Bill Fred Fred Fred, Bill Bill, Fred Fred, Fred, Bill, Fred, Fred, Bill",Who gave the apple? 
40,Mary,"Mary, Fred Fred, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill,",Who gave the milk? 
41,milk,"milk milk,football,football,football,football,football,football,football,football,football",What did Mary give to Fred? 
42,Jeff,"Mary, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill,",Who gave the milk? 
43,Fred,"Mary, Fred Fred Bill, Fred Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred",Who received the milk? 
44,Mary,"Fred Bill, Fred Fred, Fred Mary, Bill Bill, Fred Fred, Fred Fred, Fred Fred",Who gave the milk? 
45,Bill,"Bill Bill, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred, Fred Fred",Who did Mary give the milk to? 
46,milk,"milk,football,football,football,football,football,football,football,football,football,",What did Mary give to Bill? 
47,Mary,"Bill Bill, Fred Fred, Mary, Bill Bill, Fred Fred, Fred Fred, Fred Fred,",Who gave the milk? 
48,Mary,"Mary, Bill Bill, Fred Fred, Fred Fred, Fred Fred, Bill Fred, Fred Fred,",Who did Bill give the milk to? 
49,Bill,"Bill Bill, Fred Fred, Fred, Bill, Fred, Fred, Bill, Fred, Fred,",Who gave the milk to Mary? 
50,Mary,"Mary, Fred Fred, Bill Bill, Fred Fred, Bill Bill, Fred Fred, Bill Bill,",Who gave the apple to Fred? 
51,Fred,"Fred Fred bathroom bathroom bathroom, Fred Bill, Fred Bill, Fred Bill, Fred Bill, Fred Bill",Who gave the apple to Mary? 
52,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Fred give to Mary? 
53,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Mary give to Jeff? 
54,apple,"apple,football,football,football,football,football,football,football,football,football,",What did Mary give to Jeff? 
55,Fred,"Fred Fred, Bill Bill, Fred, Fred, Bill, Fred, Fred, Bill, Fred,",Who received the football? 
56,football,"football,football,football,football,football,football,football,football,football,football,",What did Bill give to Fred? 
57,Bill,"Mary, Bill Fred Fred, Fred Bill, Fred, Fred, Bill, Fred, Fred, Fred",Who gave the apple? 
58,Bill,"Bill Bill, Fred Fred, Fred Fred, Bill, Fred, Fred, Bill, Fred, Fred",Who did Mary give the apple to? 
59,Jeff,"Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred, Fred Bill, Fred Fred",Who did Bill give the apple to? 
60,Jeff,"Fred Fred, Fred Bill, Fred Fred, Fred Fred, Fred Bill, Fred Fred, Fred Bill",Who did Bill give the apple to? 
61,Bill,"Bill Bill, Fred Fred, Fred, Bill, Fred, Fred, Bill, Fred, Fred,",Who gave the apple to Jeff? 
62,Jeff,"Fred Fred, Bill Bill, Fred Mary, Fred Fred, Bill Bill, Fred Mary, Fred Bill",Who gave the apple to Bill? 
