,target,output,question
0,football,"gray,s,e,e,e,e,e,e,e,e,",What did Fred give to Jeff? 
1,Fred,"s,s,e,e,e,e,e,e,e,e,",Who gave the football to Jeff? 
2,football,"football, football, football, football, football, football, football, football, football, football,",What did Fred give to Jeff? 
3,Jeff,"Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who did Fred give the football to? 
4,Fred,"Mary,s,e,e,e,e,e,e,e,e,",Who did Jeff give the football to? 
5,Jeff,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the apple? 
6,Bill,"Fred, Bill, Mary, Bill, Mary, Bill, Mary, Bill, Mary, Bill,",Who received the apple? 
7,apple,"football, football, football, football, football, football, football, football, football, football,",What did Bill give to Fred? 
8,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Bill give to Fred? 
9,Fred,"Fred, Bill, Mary, Bill, Mary, Bill, Mary, Bill, Mary, Bill,",Who received the apple? 
10,Mary,"Fred,e,e,e,e,e,e,e,e,e,",Who received the milk? 
11,milk,"milkk, milkk, milkk, milkk, milkk, milkk, milkk",What did Mary give to Bill? 
12,Bill,"e,e,e,e,e,e,e,e,e,e,",Who received the milk? 
13,Bill,"kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who did Mary give the milk to? 
14,milk,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Mary give to Bill? 
15,Jeff,"Mary,s,e,e,e,e,e,e,e,e,",Who received the football? 
16,Fred,"s,s,e,e,e,e,e,e,e,e,",Who gave the football to Jeff? 
17,football,"milkk,e,e,e,e,e,e,e,e,e",What did Fred give to Jeff? 
18,Jeff,"s,e,e,e,e,e,e,e,e,e,",Who received the football? 
19,Mary,"Jeff, Mary, Jeff, Mary, Jeff, milkk, Jeff, milkk, Jeff,",Who gave the milk? 
20,milk,"football, football, football, football, football, football, football, football, football, football,",What did Jeff give to Mary? 
21,Mary,"Fred, Bill, Mary, Fred, Bill, Mary, Fred, Bill, Mary, Fred,",Who gave the milk to Jeff? 
22,Mary,"Fred, Bill, Mary, Fred, Bill, Mary, Fred, Bill, Mary, Fred,",Who gave the milk to Jeff? 
23,Bill,"Bill, apple, Mary, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who gave the apple to Jeff? 
24,Jeff,"Bill, Mary, Jeff, Fred, Bill, Fred, Bill, Fred, Bill, Fred,",Who gave the apple? 
25,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Jeff give to Fred? 
26,Fred,"Bill, Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who received the apple? 
27,Jeff,"Fred, Jeff, Bill, Fred, Bill, Fred, Bill, Fred, Bill, Fred,",Who received the apple? 
28,Jeff,"Fred, Bill, Fred, Bill, Fred, Bill, Fred, Bill, Fred, Bill,",Who gave the apple? 
29,Fred,"Mary,s,e,e,e,e,e,e,e,e,",Who did Jeff give the apple to? 
30,Mary,"s,e,e,e,e,e,e,e,e,e,",Who gave the milk? 
31,Bill,"Bill, Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk? 
32,Bill,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk to Mary? 
33,milk,"milkk,e,e,e,e,e,e,e,e,e",What did Bill give to Mary? 
34,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Mary give to Fred? 
35,Jeff,"Mary, Jeff, Fred, Jeff, Mary, Jeff, Fred, Mary, Jeff, Fred,",Who did Fred give the milk to? 
36,Jeff,"Jeff, Bill, Mary, Fred, Jeff, Mary, Fred, Jeff, Mary, Fred,",Who did Fred give the milk to? 
37,milk,"milkk, milkk, milkk, milkk, milkk, milkk, milkk",What did Jeff give to Mary? 
38,milk,"milkk, milkk, milkk, milkk, milkk, milkk, milkk",What did Jeff give to Mary? 
39,Fred,"Bill, Fred, Mary, Fred, Bill, Fred, Mary, Fred, Bill, Mary,",Who gave the apple? 
40,Mary,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk? 
41,milk,"milkk,e,e,e,e,e,e,e,e,e",What did Mary give to Fred? 
42,Jeff,"Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk? 
43,Fred,"Fred, Jeff, Fred, Jeff, Fred, Fred, Fred, Fred, Fred, Fred,",Who received the milk? 
44,Mary,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk? 
45,Bill,"kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who did Mary give the milk to? 
46,milk,"milkk,e,e,e,e,e,e,e,e,e",What did Mary give to Bill? 
47,Mary,"Bill, Mary, Jeff, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk? 
48,Mary,"milkk, milkk, milkk, milkk, milkk, milkk, milkk",Who did Bill give the milk to? 
49,Bill,"Jeff, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the milk to Mary? 
50,Mary,"Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the apple to Fred? 
51,Fred,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the apple to Mary? 
52,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Fred give to Mary? 
53,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Mary give to Jeff? 
54,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Mary give to Jeff? 
55,Fred,"e,e,e,e,e,e,e,e,e,e,",Who received the football? 
56,football,"football, football, football, football, football, football, football, football, football, football,",What did Bill give to Fred? 
57,Bill,"Mary,s,e,e,e,e,e,e,e,e,",Who gave the apple? 
58,Bill,"Bill, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who did Mary give the apple to? 
59,Jeff,"Mary, Jeff, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who did Bill give the apple to? 
60,Jeff,"Mary, garden, garden, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who did Bill give the apple to? 
61,Bill,"Bill, Fred, Mary, Fred, Bill, Fred, Mary, Fred, Bill, Mary,",Who gave the apple to Jeff? 
62,Jeff,"Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the apple to Bill? 
63,Bill,"Bill, Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who received the apple? 
64,Mary,"Fred, Jeff, Bill, Fred, Jeff, Fred, Bill, Fred, Fred, Fred,",Who gave the milk? 
65,Mary,"Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the apple to Bill? 
66,Bill,"garden, garden, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who did Mary give the apple to? 
67,Mary,"Mary, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who did Bill give the apple to? 
68,apple,"football, football, football, football, football, football, football, football, football, football,",What did Bill give to Mary? 
69,Mary,"Fred, Mary, Fred, Fred, Mary, Fred, Mary, Fred, Mary, Mary,",Who did Bill give the apple to? 
70,apple,"football, football, football, football, football, football, football, football, football, football,",What did Fred give to Jeff? 
71,Jeff,"s,e,e,e,e,e,e,e,e,e,",Who gave the football? 
72,Jeff,"Mary,s,e,e,e,e,e,e,e,e,",Who gave the football? 
73,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Fred give to Bill? 
74,apple,"apple, apple, apple, apple, apple, apple, apple, apple, apple, apple,",What did Fred give to Bill? 
75,Fred,"Mary,s,e,e,e,e,e,e,e,e,",Who gave the football? 
76,Fred,"s,e,e,e,e,e,e,e,e,e,",Who gave the football? 
77,Mary,"e,e,e,e,e,e,e,e,e,e,",Who received the football? 
78,Mary,"Mary, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen, kitchen,",Who gave the football? 
79,football,"football,s,e,e,e,e,e,e,e,e,",What did Mary give to Fred? 
80,milk,"milkk, milkk, milkk, milkk, milkk, milkk, milkk",What did Fred give to Jeff? 
81,milk,"football, football, football, football, football, football, football, football, football, football,",What did Fred give to Jeff? 
82,Fred,"Fred, Bill, Mary, Fred, Bill, Mary, Fred, Bill, Mary, Fred,",Who did Jeff give the milk to? 
83,milk,"football, football, football, football, football, football, football, football, football, football,",What did Jeff give to Fred? 
84,Jeff,"Bill, Mary, Fred, Bill, Mary, Fred, Bill, Mary, Fred, Bill,",Who gave the milk to Fred? 
85,Fred,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who did Mary give the apple to? 
86,Fred,"s,e,e,e,e,e,e,e,e,e,",Who gave the apple to Mary? 
87,Mary,"Mary, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who gave the apple? 
88,Jeff,"Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred, Fred,",Who did Mary give the apple to? 
89,Jeff,"s,e,e,e,e,e,e,e,e,e,",Who received the football? 
90,football,"football, football, football, football, football, football, football, football, football, football,",What did Mary give to Jeff? 
91,Mary,"s,e,e,e,e,e,e,e,e,e,",Who received the football? 
