,target,output,question
0,football,"football,apple,e,e,e,e,e,e,e,e,",What did Fred give to Jeff? 
1,Fred,"Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who gave the football to Jeff? 
2,football,"football, football, football, football, football, football, football, football, football, football,",What did Fred give to Jeff? 
3,Jeff,"Jeff, Bill, Bill, Bill, football, Fred, Bill, football, Fred, football,",Who did Fred give the football to? 
4,Fred,"Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who did Jeff give the football to? 
5,Jeff,"Fred, Mary, Fred, Mary, Fred, Mary, Fred, Mary, Fred, Mary,",Who gave the apple? 
6,Bill,"Fred, Bill, Bill, Bill, Fred, Bill, Bill, Bill, Bill, Bill,",Who received the apple? 
7,apple,"apple,football,apple,football,apple,football,apple,football,apple,football,",What did Bill give to Fred? 
8,apple,"apple,apple,football,apple,football,apple,football,apple,football,apple,",What did Bill give to Fred? 
9,Fred,"Bill, Fred, Bill, Bill, Fred, Bill, Bill, Bill, Bill, Bill,",Who received the apple? 
10,Mary,"Mary, Fred, Mary, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who received the milk? 
11,milk,"milk, milk, milk, milk, milk, milk, milk, milk, milk, milk,",What did Mary give to Bill? 
12,Bill,"Bill, Mary, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who received the milk? 
13,Bill,"Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who did Mary give the milk to? 
14,milk,"milk, milk, milk, milk, milk, milk, milk, milk, milk, milk,",What did Mary give to Bill? 
15,Jeff,"Fred, Mary, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who received the football? 
16,Fred,"Fred, Bill, Bill, Fred, Bill, Bill, Fred, Bill, Bill, Bill,",Who gave the football to Jeff? 
17,football,"football,apple,football,apple,football,football,apple,football,football,apple,",What did Fred give to Jeff? 
18,Jeff,"Fred, Mary, Bill, Bill, Fred, Mary, Bill, Bill, Bill, Bill,",Who received the football? 
19,Mary,"Fred, Mary, Bill, Fred, Bill, Mary, Bill, Bill, Fred, Bill,",Who gave the milk? 
20,milk,"milk, milk, milk, milk, milk, milk, milk, milk, milk, milk,",What did Jeff give to Mary? 
21,Mary,"Bill, Bill, Bill, Fred, Bill, Mary, Bill, Bill, Bill, Bill,",Who gave the milk to Jeff? 
22,Mary,"Bill, Bill, Bill, Fred, Bill, Bill, Fred, Bill, Bill, Bill,",Who gave the milk to Jeff? 
23,Bill,"Bill, Bill, Bill, Fred, Bill, Bill, Fred, Bill, Bill, Bill,",Who gave the apple to Jeff? 
24,Jeff,"Fred, Bill, Fred, Bill, Fred, Bill, Bill, Fred, Bill, Bill,",Who gave the apple? 
25,apple,"apple,football,apple,football,apple,football,apple,football,apple,football,",What did Jeff give to Fred? 
26,Fred,"Fred, Mary, Fred, Mary, Fred, Mary, Fred, Mary, Fred, Mary,",Who received the apple? 
27,Jeff,"Fred, Frede, Frede, Frede, Frede, Frede, Frede,",Who received the apple? 
28,Jeff,"Fred, Frede, Frede, Frede, Frede, Frede, Frede,",Who gave the apple? 
29,Fred,"Bill, Fred, Bill, Fred, Bill, Fred, Bill, Fred, Bill, Fred,",Who did Jeff give the apple to? 
30,Mary,"Bill, Fred, Bill, Mary, Bill, Bill, Bill, Bill, Bill, Bill,",Who gave the milk? 
31,Bill,"Bill, Mary, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who gave the milk? 
32,Bill,"Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill, Bill,",Who gave the milk to Mary? 
33,milk,"milk, milk, milk, milk, milk, milk, milk, milk, milk, milk,",What did Bill give to Mary? 
34,apple,"apple,apple,football,apple,football,apple,apple,football,apple,apple,",What did Mary give to Fred? 
35,Jeff,"Bill, Bill, Fred, Bill, Bill, Fred, Bill, Bill, Bill, Bill,",Who did Fred give the milk to? 
36,Jeff,"Bill, Mary, Bill, Fred, Bill, Mary, Bill, milk, milk, milk,",Who did Fred give the milk to? 
37,milk,"milk, milk, milk, milk, milk, milk, milk, milk, milk, milk,",What did Jeff give to Mary? 
38,milk,"milk, milk, milk, milk, milk, milk, milk, milk, milk, milk,",What did Jeff give to Mary? 
