,target,output,question
0,hallway,"hallway, kitchen, hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway,",What is west of the office?
1,bedroom,"garden, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,",What is the office north of?
2,hallway,"hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway,",What is west of the kitchen?
3,office,"bedroom, office, bedroom, bedroom, office, bedroom, bedroom, bedroom, bedroom, bedroom,",What is the bathroom west of?
4,garden,"garden, kitchen, kitchen, garden, kitchen, kitchen, garden, kitchen, kitchen, kitchen,",What is the bedroom south of?
5,kitchen,"bedroom bedroom, kitchen, bedroom, bathroom, bedroom, bedroom, bathroom, bedroom, bedroom, bathroom",What is the bathroom east of?
6,office,"garden, office, bathroom, bathroom, garden, bathroom, bathroom, bathroom, bathroom, bathroom,",What is south of the bathroom?
7,kitchen,"hallway, kitchen, hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway,",What is the bedroom east of?
8,office,"office, bedroom, bedroome,e,e,e,e,e,e,e",What is the hallway west of?
9,bedroom,"bedroom bedroom, bedroome,e,e,e,e,e,e,e,",What is the office east of?
10,bathroom,"bathroom, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom, bedroom,",What is south of the bedroom?
11,bedroom,"kitchen, bedroom, kitchen, bedroom, bedroom, kitchen, bedroom, bedroom, kitchen, bedroom,",What is the garden south of?
12,hallway,"hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway, hallway,",What is north of the office?
13,kitchen,"kitchen kitchene, kitchene, kitchene, kitchene, kitchene, kitchene, kitchen",What is west of the office?
14,hallway,"kitchen hallway, kitchen hallway, kitchene, hallway, kitchene, hallway, kitchene, hallway",What is east of the garden?
15,garden,"garden, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,",What is the office north of?
16,kitchen,"kitchen, garden, kitchen, garden, kitchen, kitchen, garden, kitchen, kitchen, garden,",What is the garden south of?
