,target,output,question
0,bedroom,"Answer: The bathroom is the room in which the King and the Queen
are received.",What is the bathroom east of?
1,bedroom,"Answer: The kitchen is west of the bedroom.

Question: What is the kitchen",What is west of the kitchen?
2,bathroom,"Answer: The garden is north of the house.

Question: What is the north",What is north of the garden?
3,bedroom,"Answer: The kitchen is south of the bathroom.

Question: What is the meaning",What is south of the kitchen?
4,bedroom,"Answer: The kitchen is east of the bedroom.

Question: What is east of",What is east of the kitchen?
5,garden,"Answer: The bathroom is west of the hall.

Question: What is the bathroom east",What is the bathroom west of?
6,kitchen,"Answer: The kitchen.

Question: What is west of the bedroom?",What is east of the bedroom?
7,bathroom,"Answer: The garden is south of the bedroom.

Question: What is the bedroom",What is the garden south of?
8,kitchen,"Answer: The kitchen.

Question: What is south of the kitchen?",What is south of the office?
9,office,"Answer: The hall of the House of Commons.

Question: What is the hall",What is east of the hallway?
10,garden,"Answer: The personal relation between the lord and his followers.

Question: What is",What is north of the office?
11,garden,"Answer: The south of the kitchen is the south of the house.

Question:",What is south of the kitchen?
12,bathroom,"Answer: The kitchen is east of the bathroom.

Question: What is the T",What is east of the kitchen?
13,garden,"Answer: The kitchen is west of the kitchen.

Question: What is east of",What is west of the kitchen?
14,garden,"Answer: The bedroom is north of the office.

Question: What is the office",What is north of the bedroom?
15,garden,"Answer: The hall is east of the bathroom.

Question: What is the garden",What is east of the hallway?
16,hallway,"Answer: The office is east of the bathroom.

Question: What is the difference",What is east of the office?
17,office,"Answer: The south of the bathroom is the south-east corner of the
showroom",What is south of the bathroom?
18,garden,"Answer: The bedroom is north of the kitchen.

Question: What is the kitchen",What is the bedroom north of?
19,garden,"Answer: The kitchen is west of the dining-room.

Question: What is the",What is the kitchen west of?
20,garden,"Answer: The office is east of the office.

Question: What is the office",What is the office east of?
21,garden,"Answer: The bathroom is south of the bathroom.

Question: What is the bathroom",What is the bathroom south of?
22,bathroom,"Answer: The bedroom is north of the bathroom.

Question: What is the bedroom north of",What is north of the bedroom?
23,bathroom,"Answer: The bedroom south of the bathroom.

Question: What is the bathroom north",What is the bedroom south of?
24,hallway,Answer: The bedroom west of the bedroom is the bedroom east of the bedroom.,What is the bedroom west of?
25,office,"Answer: The bathroom is west of the press.

Question: What is the press",What is east of the bathroom?
26,office,"Answer: The bedroom is north of the hallway.

Question: What is the bedroom",What is north of the bedroom?
27,hallway,"Answer: The West Woods, a small wooded area, about a mile and a half",What is west of the bathroom?
28,garden,"Answer: The bathroom is north of the bathroom.

Question: What is the bathroom",What is the bathroom north of?
29,garden,"Answer: The office is north of the bathroom.

Question: What is south of the",What is north of the office?
30,bedroom,"Answer: The kitchen is east of the bedroom.

Question: What is the kitchen",What is east of the kitchen?
31,kitchen,"Answer: The bathroom is east of the kitchen.

Question: What is the kitchen",What is the bathroom east of?
32,bathroom,"Answer: The south side of the house.

Question: What is the south side",What is north of the garden?
33,kitchen,"Answer: The bedroom is west of the kitchen.

Question: What is the kitchen",What is the bedroom west of?
34,bedroom,"Answer: The kitchen south of the kitchen.

Question: What is the kitchen north",What is the kitchen south of?
35,garden,"Answer: The bathroom is east of the garden.

Question: What is the garden east",What is the bathroom east of?
36,office,"Answer: The hall of the castle.

Question: What is south of the hallway",What is south of the hallway?
37,bedroom,"Answer: The north side of the cave.

Question: What is south of the",What is north of the bathroom?
38,bedroom,"Answer: The bathroom is east of the office.

Question: What is the bathroom west of",What is the bathroom east of?
39,office,"Answer: The kitchen.

Question: What is south of the bedroom? Answer: The cave",What is north of the bedroom?
40,bathroom,"Answer: The kitchen is south of the kitchen.

Question: What is south of",What is south of the kitchen?
41,bedroom,"Answer: The office is west of the city.

Question: What is the city",What is west of the office?
