,target,output,question
0,football,"Answer: He gave a good deal, and he gave it to the right people.",What did Fred give to Jeff? 
1,Fred,"Answer: The man who gave it to him.

<context>

<",Who gave the football to Jeff? 
2,football,"Answer: He gave him a good-sized sum of money, and a good-sized",What did Fred give to Jeff? 
3,Jeff,"Answer: The Reverend Doctor.

Question: Who was the first to be in the",Who did Fred give the football to? 
4,Fred,"Answer: The Reverend Doctor.

Question: Who was the first to use the word",Who did Jeff give the football to? 
5,Jeff,"Answer: The Ancient of the Faith.

Question: Who gave the cup?",Who gave the apple? 
6,Bill,"Answer: The man who was the first to see it.

Question: Who was",Who received the apple? 
7,apple,"Answer: A little money.
Question: What did he give to the other boys?",What did Bill give to Fred? 
8,apple,"Answer: A little box of matches.

Question: What did he give to you",What did Bill give to Fred? 
9,Fred,"Answer: The Lord.

Question: Who was the first to preach the Gospel?",Who received the apple? 
10,Mary,"Answer: The people.

Question: What is the reason?

Answer:",Who received the milk? 
11,milk,"Answer: A little silver.

Question: What did Bill do with it?",What did Mary give to Bill? 
12,Bill,"Answer: The man who was in the room with the man who was in the
room",Who received the milk? 
13,Bill,"Answer: The little girl who was in the house.

Question: Who was the",Who did Mary give the milk to? 
14,milk,"Answer: She gave him a good dinner, and a good bed.

Question:",What did Mary give to Bill? 
15,Jeff,"Answer: The man who was in the hospital.

""I don't know.",Who received the football? 
16,Fred,"Answer: The man who was in the house when the ball was thrown.

Question",Who gave the football to Jeff? 
17,football,"Answer: A little of his own money.

Question: What did he do with",What did Fred give to Jeff? 
18,Jeff,"Answer: The captain of the team.

Question: Who was the captain of the",Who received the football? 
19,Mary,"Answer: The lady.

Question: Who gave the bread?

Answer:",Who gave the milk? 
20,milk,"Answer: He gave her a box-full of money.

<context>",What did Jeff give to Mary? 
21,Mary,"Answer: The Lord Chancellor.

Question: Who gave the milk to the Lord Chancellor",Who gave the milk to Jeff? 
22,Mary,"Answer: The King.

Question: Who was the King's attorney?",Who gave the milk to Jeff? 
23,Bill,"Answer: The Pope.

Question: Who gave the apple to the King?",Who gave the apple to Jeff? 
24,Jeff,"Answer: The Patriarch of the Church of England.

Question: Who gave the",Who gave the apple? 
25,apple,"Answer: ""The truth.""

Question: What did he do with it?",What did Jeff give to Fred? 
26,Fred,"Answer: The Reverend Doctor.

Question: Who was the young man?",Who received the apple? 
27,Jeff,"Answer:

The American

The American

The American

The American",Who received the apple? 
28,Jeff,"Answer: The man who gave it.

Question: Who gave the apples?",Who gave the apple? 
29,Fred,"Answer: The young man who was the first to enter the library.

Question:",Who did Jeff give the apple to? 
30,Mary,"Answer: The Doctor.

Question: Who was the lady?

Answer:",Who gave the milk? 
31,Bill,"Answer: The

Counassador: The

Question: Who was the",Who gave the milk? 
32,Bill,"Answer: The man who was with her when she was killed.

Question: Who",Who gave the milk to Mary? 
33,milk,"Answer: ""A little of his own money, and a little of his father's.""",What did Bill give to Mary? 
34,apple,"Answer: She gave him a little book.

Question: What was the name of",What did Mary give to Fred? 
35,Jeff,"Answer: The young lady who was in the school-darned.

Question",Who did Fred give the milk to? 
36,Jeff,"Answer: The man of the house.

""I was wondering if you would be",Who did Fred give the milk to? 
37,milk,"Answer: A little book, which was a little book, and a little book, and",What did Jeff give to Mary? 
38,milk,"Answer: A little book.

Question: What did Mary do with it? Answer: She",What did Jeff give to Mary? 
39,Fred,"Answer: The Lord.

Question: Who gave the apple?

Answer:",Who gave the apple? 
40,Mary,"Answer: The Bishop of New-Carnes.

Question: Who was the first to",Who gave the milk? 
41,milk,"Answer: A little book.

Question: What was the name of the book?",What did Mary give to Fred? 
42,Jeff,"Answer: The man who gave the first of the two.

Question: Who gave",Who gave the milk? 
43,Fred,"Answer: The two young men, who were the only ones who were not
sitting",Who received the milk? 
44,Mary,"Answer: The

""The

""The

""The

""",Who gave the milk? 
45,Bill,"Answer: Mary gave the milk to
her mother.

Question: Who did Mary give the",Who did Mary give the milk to? 
46,milk,"Answer: A dollar.

Question: What did she do with it? Answer: She gave",What did Mary give to Bill? 
47,Mary,"Answer: The man who was the chief of the milk.

Question: Who was",Who gave the milk? 
48,Mary,"Answer: To the men of the
Second Corps.

Question: Who did Bill give the",Who did Bill give the milk to? 
49,Bill,"Answer: The young man who was the chief of the party, and who was
supp",Who gave the milk to Mary? 
50,Mary,"Answer: The man who gave it to the boy.

Question: Who gave the",Who gave the apple to Fred? 
51,Fred,"Answer: The man who gave it. <context>

Question: Who gave the book to",Who gave the apple to Mary? 
52,apple,Answer: A gold watch. Question: What did he give her? Answer: A diamond ring.,What did Fred give to Mary? 
53,apple,"Answer: A diamond-sitting-sink.

Question: What did she do with",What did Mary give to Jeff? 
54,apple,"Answer: She gave him a Bible, and he read it to her.

Question:",What did Mary give to Jeff? 
55,Fred,"Answer: The American

<sarn>

<sarn>",Who received the football? 
56,football,"Answer: He gave him a dollar.

Question: What did he do with it",What did Bill give to Fred? 
57,Bill,"Answer: The man who was in the store.

Question: Who was the man",Who gave the apple? 
58,Bill,"Answer: The lady who
was in the kitchen.

Question: Who was the lady?",Who did Mary give the apple to? 
59,Jeff,"<context>

Answer: The man who was in the room when the little maiden was",Who did Bill give the apple to? 
60,Jeff,"Answer: I don't know.

Question: Who gave it to you?",Who did Bill give the apple to? 
61,Bill,"Answer: The Reverend Mr. John P. P.

Question: Who was the",Who gave the apple to Jeff? 
62,Jeff,"Answer: The first man.

The first man was the only one who had the",Who gave the apple to Bill? 
63,Bill,"Answer: The Bishop of New-England.

Question: Who was the first preacher",Who received the apple? 
64,Mary,"Answer: The Duke of Albush. Question: Who
was the first to give it? Answer",Who gave the milk? 
