,target,output,question
0,bedroom,"Answer: The room in which the water is drawn from the spring.

Question:",What is the bathroom east of?
1,bedroom,"<s>

<s>

<s>

<s>",What is west of the kitchen?
2,bathroom,"Answer: The place where the sun is highest.

<context>

<",What is north of the garden?
3,bedroom,"Answer: The kitchen is the place where the dishes are put, and the
dinner",What is south of the kitchen?
4,bedroom,"Answer: The kitchen is the place where the dinner is cooked.

Question: What",What is east of the kitchen?
5,garden,"Answer: The bathroom is the bathroom.

Question: What is the best way to get",What is the bathroom west of?
6,kitchen,"Answer: The world.
Question: What is the world?
Answer: The universe.",What is east of the bedroom?
7,bathroom,"Answer: The ""Bundist"" garden.

Question: What is the """,What is the garden south of?
8,kitchen,"Answer: The place where the railroad is to be laid.

28, 29,",What is south of the office?
9,office,"Answer: The west of the garden.

Question: What is the East of the",What is east of the hallway?
10,garden,"Answer: The office is the place where the business of the company is
transacted.",What is north of the office?
11,garden,"Answer: The kitchen is the place where the kitchen-derson is.

Question",What is south of the kitchen?
12,bathroom,"Answer: The kitchen is the place where the dishes are washed.

Question: What",What is east of the kitchen?
13,garden,"Ans. The south-west corner of the garden.

Q. What is",What is west of the kitchen?
14,garden,"Answer: The room in which the body of the dead is laid.

Question:",What is north of the bedroom?
15,garden,"Answer: The ""North"" and the ""South.""

Question: What is west",What is east of the hallway?
16,hallway,"Answer: The east is the direction of the sun, and the direction of the
earth",What is east of the office?
17,office,"Answer: The place where the water is.

Question: What is the water?",What is south of the bathroom?
18,garden,"Answer: The bedroom is the room in the north of the house.

Question: What",What is the bedroom north of?
19,garden,"Answer: The kitchen is the room in the house where the servants live.

Question",What is the kitchen west of?
20,garden,Answer: The office is the place where the man who is to be a man is to,What is the office east of?
21,garden,"Answer: The bathroom is the room in the back of the house.

Question:",What is the bathroom south of?
22,bathroom,"Answer: The north of the
bedroom. Question: What is south of the bedroom? Answer",What is north of the bedroom?
23,bathroom,"Answer: The bedroom south of the house is the room in which the
household is",What is the bedroom south of?
24,hallway,"Answer: The bed-room.

Question: What is the bed-room?",What is the bedroom west of?
25,office,"Answer: The side of the house opposite to the east.

Question: What is",What is east of the bathroom?
26,office,"Answer: The place where the sun is in the morning.

Question: What is",What is north of the bedroom?
27,hallway,"Answer: The west of the bathroom is the west of the house.

Question: What",What is west of the bathroom?
28,garden,"Answer: The bathroom is the place where the water is brought from the
springs,",What is the bathroom north of?
29,garden,"Answer: The direction of the line of the earth's

2. The direction of",What is north of the office?
30,bedroom,"Answer: The kitchen is east of the house.

Question: What is west of",What is east of the kitchen?
31,kitchen,"Answer: The bathroom is east of the bathroom.
Question: What is the name of the",What is the bathroom east of?
32,bathroom,"Answer: The land on the left bank of the river.

Question: What is",What is north of the garden?
33,kitchen,"Answer: The room in which the children are.
Question: What is the room in which",What is the bedroom west of?
34,bedroom,"Answer: The kitchen is the place where the servants live.

Question: What is the",What is the kitchen south of?
35,garden,"Answer: The first of the two rooms on the left of the hall.

Question",What is the bathroom east of?
36,office,"Answer: The side of the house that is toward the east.

Question: What",What is south of the hallway?
37,bedroom,"Answer: The north of the bathroom is the place where the water is
supplied to",What is north of the bathroom?
38,bedroom,"Answer: The bathroom is the bathroom of the house. It is a small room
with",What is the bathroom east of?
39,office,"Answer: The place where the body is buried.

Question: What is the difference",What is north of the bedroom?
40,bathroom,"Answer: The south of the kitchen is the south of the house.

Question:",What is south of the kitchen?
