,target,output,question
0,office,"_The two men are now in the room. The two men are all three
together",Where was the apple before the bathroom? 
1,office,"Answer: In the side of the house.

Question: How was the blood of",Where was the apple before the hallway? 
2,office,"Answer: In the garden.

Question: What was the motive of the motive?",Where was the apple before the hallway? 
3,bathroom,"Answer: In the library.

Question: What was the book?

Answer",Where was the football before the garden? 
4,bathroom,"Answer: In the little cottage which was the home of the little
girl who was the",Where was the football before the garden? 
5,garden,"Answer: In the house of the little girl who was so good to the little
girl",Where was the apple before the bathroom? 
6,kitchen,"Answer: In the kitchen.

Question: What was the reason for the change?",Where was the milk before the office? 
7,kitchen,"Answer: In the garden.

Question: What was the name of the man who",Where was the apple before the office? 
8,kitchen,"Answer: In the box.
Question: What was the name of the man who was the",Where was the apple before the office? 
9,bedroom,"Answer: In the
carn-store.

Question: What was the name of the",Where was the apple before the office? 
10,garden,"Answer: In the kitchen.

Q: What was the apple?

A",Where was the apple before the bedroom? 
11,garden,"Answer: In the tree.

Question: What was the tree?

Answer",Where was the apple before the bedroom? 
12,garden,"Answer: In the kitchen.

Question: How was the water to be cleansed",Where was the milk before the bathroom? 
13,garden,"Answer: In the refrigerator.

Question: Where was the butter?
Answer: In",Where was the milk before the bathroom? 
14,garden,"Answer: In the kitchen.

Question: What was the reason for the change?",Where was the milk before the bathroom? 
15,kitchen,Answer: In the yard. Question: Where was the yard before the house? Answer: In the,Where was the football before the garden? 
16,kitchen,"Answer: In the garden.
Question: Where was the football before the game?
Answer",Where was the football before the garden? 
17,garden,"Answer: In the
<cont><cont><cont><cont><cont>",Where was the milk before the bedroom? 
18,garden,Answer: In the milk-closet. Question: Where was the milk-closet before the,Where was the milk before the bedroom? 
19,bedroom,"Answer: In the yard.
Question: What was the name of the football? Answer: The",Where was the football before the bathroom? 
20,garden,"Answer: In the village store. <context>

<context>

The Brownie",Where was the football before the hallway? 
21,garden,"Answer: In the
cabaret. Question: Where was the club? Answer: In the",Where was the football before the office? 
22,hallway,"Answer: In the churchyard.

Question: What was the name of the place",Where was the football before the garden? 
23,office,"Answer: The first time that the little girl was in the house, she was
c",Where was the milk before the kitchen? 
24,kitchen,"Answer: In the cup-darn.
Question: Where was the water before the cup",Where was the milk before the bedroom? 
25,bathroom,"Answer: In the room.

Question: What was the motive of the motive?",Where was the football before the bedroom? 
26,office,"Answer: In the
kitchen. Question: Where was the kitchen before the football? Answer:",Where was the football before the bedroom? 
27,garden,"Answer: In the
sod-darned room. The only thing that was left of",Where was the football before the office? 
28,garden,"Answer: In the library.

""The library is a very important place, and",Where was the football before the office? 
29,garden,Answer: In the garden. Question: Where was the garden before the office? Answer: In the,Where was the apple before the office? 
30,bathroom,"Answer: In the kitchen.

Question: Where was the kitchen before the dining-",Where was the apple before the hallway? 
31,office,"Answer: In the
kitchen. Question: Where was the apple before the apple-tree?",Where was the apple before the kitchen? 
32,office,"Answer: In the
shelf. <context>

Question: What was the motive of",Where was the apple before the kitchen? 
33,hallway,"Answer: In the room.

Question: How long was it before the room was",Where was the milk before the bedroom? 
34,bedroom,Answer: In the house. Question: Where was the horse-pistol? Answer: In,Where was the milk before the garden? 
35,hallway,Answer: In the kitchen. Question: Where was the apple after the bathroom? Answer: In the,Where was the apple before the bathroom? 
