,target,output,question
0,football,"Answer: A good many things.

Q. What did he give to you?",What did Fred give to Jeff? 
1,Fred,Answer: The boy who was in the schoolroom when the football was played.,Who gave the football to Jeff? 
2,football,"Answer: He gave him a horse and a saddle, and a horseman to ride with",What did Fred give to Jeff? 
3,Jeff,"Answer: The boy who was the first to take it.

Question: Who was",Who did Fred give the football to? 
4,Fred,"Answer: Cuddie.

Question: What did Cuddie do?",Who did Jeff give the football to? 
5,Jeff,"He would be able to conceal his identity.

He was not mistaken.",Who gave the apple? 
6,Bill,"Answer: The apple was given to me.

""I am not surprised,"" said",Who received the apple? 
7,apple,_A._ “A fayre fayre fayre fayre f,What did Bill give to Fred? 
8,apple,"Answer: The power of the House of Commons.

[Illustration: The House of",What did Bill give to Fred? 
9,Fred,"""Answer: I did.

     ""Question: Who sent the apple?",Who received the apple? 
10,Mary,"Answer: The Soudan.

Question: Who gave the milk?",Who received the milk? 
11,milk,"Answer: ""A little bit of a piece of a piece of a piece of a piece",What did Mary give to Bill? 
12,Bill,"Answer: ""The milk was sent to the hotel.""

Question: Who sent the",Who received the milk? 
13,Bill,"Answer: The milk was given to the children.




THE LITTLE GIRL OF",Who did Mary give the milk to? 
14,milk,"Answer: ""A good many things, and one of them was a good many dollars.""",What did Mary give to Bill? 
15,Jeff,"Answer: The Fays.

Question: Who was the first man to go to",Who received the football? 
16,Fred,"Answer: Burt.

Question: Who gave the football to Burt?",Who gave the football to Jeff? 
17,football,"Answer: “A thousand dollars,” said the Governor. “I will go and see",What did Fred give to Jeff? 
18,Jeff,"Answer: The captain.

Question: Who was the captain?

Answer:",Who received the football? 
19,Mary,"Paine: ""I give it to you, my dear child, and you will be",Who gave the milk? 
20,milk,"Answer: He gave her a letter to Congress, which was to be printed, and",What did Jeff give to Mary? 
21,Mary,"Answer: The people.

""The people, who have been so long in the",Who gave the milk to Jeff? 
22,Mary,"Answer: The man who had the boat.




THE END.




Transc",Who gave the milk to Jeff? 
23,Bill,"THE BOOK OF THE BABIES.

BY MRS. M. A",Who gave the apple to Jeff? 
24,Jeff,"Answer: The man who gave it.

Question: Who gave the apple?",Who gave the apple? 
25,apple,"Answer: What did you give to me?

Question: What did you give to",What did Jeff give to Fred? 
26,Fred,"Answer: The young people.

Question: Who gave the apple?

Answer",Who received the apple? 
27,Jeff,"Answer: The man who received it.

Question: Who received the apple?",Who received the apple? 
28,Jeff,"Answer: Judge Flandrau.

Q. What was the name of the",Who gave the apple? 
29,Fred,"Answer: The old man.

[Illustration: The old man]




[",Who did Jeff give the apple to? 
30,Mary,"Answer: The milkman.

[Illustration: A Dove.]

[Illustration",Who gave the milk? 
31,Bill,"Answer: The milk was given to the children of the house.




THE STORY",Who gave the milk? 
32,Bill,"THE END.




Transcriber's Notes:

Passages in italics",Who gave the milk to Mary? 
33,milk,"Answer: A piece of bread.

Q. What did the King give to the",What did Bill give to Mary? 
34,apple,"Answer: She gave him a great deal of money, and a great deal of
good",What did Mary give to Fred? 
35,Jeff,"Answer: The milk was given to the Rabbins, who were in the neighborhood.",Who did Fred give the milk to? 
36,Jeff,"Answer: Who did he give it to?




THE END.




Transcriber's",Who did Fred give the milk to? 
37,milk,"Answer: ""A little bit of a piece of paper, and a little bit of a",What did Jeff give to Mary? 
38,milk,"Answer: ""A little money, and a little prayer-book.""




CHAPTER XV",What did Jeff give to Mary? 
39,Fred,"Answer: The King.

Q. What was the name of the apple?",Who gave the apple? 
40,Mary,"Croyden: ""The Colonel gave it to me, sir. He said it was",Who gave the milk? 
41,milk,"""A little bit of money,"" said the boy. ""I don't know how much",What did Mary give to Fred? 
