,target,output,question
0,hallway,"Answer: Where is the milk?

""I am not a stranger to the house",Where is the milk? 
1,hallway,"Answer: In the library.

""I am sorry to have to ask you to",Where is the football? 
2,hallway,"“Well, I’ve been looking for him ever since I left New York, and",Where is the football? 
3,hallway,"Answer: In the gymnasium.

“I’ve been thinking of that",Where is the football? 
4,garden,"Answer: The milk is in the house.

“Where’s the temple?”",Where is the milk? 
5,garden,"Answer: In the _Bagre_, the _Bagre_ is the _Bagre",Where is the milk? 
6,bedroom,"Answer: In the _Canaan_ of the Maya.

[Illustration:",Where is the football? 
7,bedroom,"Answer: In the _Wandsbecker Bothe_.

The _Wands",Where is the milk? 
8,kitchen,"Answer: In the _Gothaische Gelehrte Zeitung_, 1774",Where is the football? 
9,kitchen,Answer: In the “Bode” of the “Sterne” edition of 17,Where is the football? 
10,bedroom,Answer: In the _Al-Khalifa_ (or _Al-Khal,Where is the football? 
11,hallway,"Answer: In the _Kabah_ at Fez.

[7]",Where is the football? 
12,garden,"Answer: In the kitchen.

Question: What is the milk?

Answer",Where is the milk? 
13,garden,"Answer: In the kitchen.

Question: Where is the butter?
Answer: In",Where is the milk? 
14,bathroom,"Answer: In the churchyard of Dunnottar.

The old man was a man of",Where is the apple? 
15,garden,"Answer: In the garden.


[Illustration: THE RANCHER'S HOR",Where is the milk? 
16,garden,"Answer: In the kitchen.

   The wind blew in through the open port,
       The",Where is the milk? 
17,garden,"*       *       *       *       *


[Illustration: THE LITTLE",Where is the milk? 
18,kitchen,"Answer: In the apple-tree.

""I'll go down to New York",Where is the apple? 
19,kitchen,"Answer: In the cellar.

""I've been looking for it all day.",Where is the apple? 
20,bedroom,"Answer: In the apple-tree.

""I'm glad you're going to",Where is the apple? 
21,bedroom,"Answer: In the garden.

Question: Where is the apple?
Answer: In",Where is the apple? 
22,bathroom,"Answer: In the studio of the ""Boul' Miche,"" where the three daughters",Where is the football? 
23,bathroom,"Answer: In the kitchen.

Question: Where is the kitchen? Answer: In the kitchen",Where is the football? 
24,bedroom,"Answer: In the kitchen.

""The Scriptures"" are the Bible, the",Where is the milk? 
25,kitchen,"Answer: In the _Missionary_ (from the Latin _missionis_, a",Where is the milk? 
26,kitchen,"Answer: In the kitchen.

Question: Where is the bread?

Answer",Where is the milk? 
27,bathroom,"Answer: In the apple-tree.




CHAPTER XIV

THE BATT",Where is the apple? 
28,bathroom,"Answer: In the kitchen.

[Illustration: THE PINE MOUNTAIN,",Where is the apple? 
29,kitchen,"Answer: In the kitchen.

""Well, then, I'll go and get",Where is the milk? 
30,garden,"Answer: In the garden.

Question: Where is the apple?

Answer",Where is the apple? 
31,garden,"Answer: In the garden.

Question: Where is the apple?

Answer",Where is the apple? 
32,kitchen,"A: The football is in the tent.

Q: What is the football?",Where is the football? 
33,kitchen,"Answer: In the kitchen.

[36] The first of these was the _",Where is the apple? 
34,kitchen,"Answer: In the kitchen.

Q. What is the meaning of the word'mon",Where is the apple? 
35,office,"Answer: In the milk-pail.

Question: What is the milk?",Where is the milk? 
36,kitchen,"Answer: In the dining-room.

Question: How long will it take her to recover",Where is the football? 
37,kitchen,"Answer: In the hall.

""I am so glad,"" said Cyril",Where is the football? 
38,kitchen,"Answer: In the room of the King.

""I have not seen it,"" said",Where is the football? 
39,bedroom,"Answer: In the kitchen.

Question: Where is the milk?

Answer",Where is the milk? 
40,bedroom,"Answer: In the milk-pail.

""The story is a very interesting one,",Where is the milk? 
41,office,"Answer: In the cellar.

[Illustration: THE BATTLE OF BER",Where is the milk? 
42,office,"Answer: In the cellar.

Question: Where is the milk?

Answer",Where is the milk? 
43,office,Answer: In the _cubit_ of the _Cubit_ of the,Where is the milk? 
44,kitchen,"Answer: In the garden.

Question: What is the name of the apple?",Where is the apple? 
45,bedroom,"Answer: In the _Mizraim_ of the Egyptians.

Question:",Where is the milk? 
46,office,Answer: In the _cano_ of the _cano_ of the _can,Where is the football? 
47,bathroom,"Answer: In the box.

Question: What is the name of the company?",Where is the football? 
48,bathroom,"Answer: The football is a game played in England, and is called the
""English",Where is the football? 
49,bedroom,"Answer: In the cellar.

Question: Where is the butter?

Answer",Where is the milk? 
50,bathroom,"Answer: In the cellar.

""Well, I'll go and get it,"" said",Where is the milk? 
51,hallway,"Answer: In the tree.

""What is the matter with you? You look",Where is the apple? 
52,kitchen,"Answer: In the kitchen.

""The enemy, however, had not yet been able",Where is the football? 
53,kitchen,"Answer: In the museum at Pompeii.

Question: Where is the football?",Where is the football? 
54,kitchen,"Answer: In the cave of Castel d’Asso, near Smyrna",Where is the football? 
55,bathroom,"Answer: In the garden.

Question: What is the name of the apple? Answer:",Where is the apple? 
56,bathroom,"Answer: In the kitchen.

Question: What is the name of the curate",Where is the milk? 
57,kitchen,"Answer: In the kitchen.

Question: What is the name of the place?",Where is the milk? 
58,kitchen,"Answer: In the _Bath_.

Question: Where is the milk?",Where is the milk? 
59,bedroom,"Answer: In the garden.

Question: What is the apple? Answer: The apple is",Where is the apple? 
60,garden,"Answer: In the kitchen.

Question: What is the milk? Answer: The milk is",Where is the milk? 
61,garden,"Answer: In the _Baptismal font_.

[12]",Where is the milk? 
