,target,output,question
0,bathroom,"Answer: He is in the bathroom.

Q. What is the use of the",Where is Daniel? 
1,bathroom,"Answer: He is in the bathroom.

Q. Where is Mary?",Where is Daniel? 
2,garden,"Answer: He is in the kitchen.

Q. Where is John?
A.",Where is John? 
3,office,"Answer: She is in the kitchen.

Question: Where is John?",Where is Mary? 
4,garden,"Answer: She is in the kitchen.

Question: Where is Daniel?
Answer:",Where is Sandra? 
5,garden,"Answer: She is in the garden.

Question: Where is the garden?",Where is Sandra? 
6,kitchen,"Answer: She went to the bathroom.

Question: Where is Mary?",Where is Sandra? 
7,kitchen,"Answer: She went to the bathroom.

Question: Where is Daniel?",Where is Sandra? 
8,office,"Answer: He is in the bathroom.

Question: Where is Mary?
Answer:",Where is Daniel? 
9,office,"Answer: She went to the bathroom.

Question: Where is Mary?",Where is Mary? 
10,bedroom,"Answer: He is in the bedroom.

Q. What is the use of the",Where is Daniel? 
11,bedroom,"Answer: She is in the bedroom.

Question: Where is Mary?",Where is Mary? 
12,office,"Answer: He is in the bedroom.

Question: Where is Mary?
Answer:",Where is John? 
13,hallway,"Answer: He went to the bedroom.

Question: Where is Mary?
Answer:",Where is Daniel? 
14,garden,"Answer: She went to the bathroom.

Question: Where is Mary?",Where is Mary? 
15,kitchen,"Answer: She is in the kitchen.

[Illustration: The garden.]",Where is Mary? 
16,hallway,"Answer: She is in the kitchen.

Question: Where is the kitchen?",Where is Sandra? 
17,garden,"Answer: She went back to the garden.

Question: Where is Mary?",Where is Mary? 
18,garden,"Answer: She went to the kitchen.

Question: Where is John?",Where is Mary? 
19,bedroom,"Answer: He went to the garden.

Question: Where is Mary?",Where is Daniel? 
20,bathroom,"Answer: He is in the bathroom.

[Illustration: The bathroom.]",Where is Daniel? 
21,hallway,"Answer: She is in the bathroom.

Question: Where is Mary?",Where is Mary? 
22,hallway,"Answer: He is in the bathroom.

Question: Where is John?",Where is Daniel? 
23,kitchen,"Answer: She went to the kitchen.

Question: Where is Mary?",Where is Mary? 
24,bedroom,"Answer: He went back to the bathroom.

Question: Where is Mary?",Where is Daniel? 
25,bathroom,"Answer: She is in the bathroom.

[Illustration: The garden]",Where is Mary? 
26,office,"Answer: He is in the bathroom.

Question: Where is Daniel?
Answer:",Where is Daniel? 
27,kitchen,"Answer: He went to the bathroom.

Question: Where is Daniel?
Answer:",Where is Daniel? 
28,office,"Answer: He went to the bathroom.

Question: Where is Daniel?",Where is Daniel? 
29,bathroom,"Answer: She went to the bathroom.

Question: Where is Mary?",Where is Mary? 
30,office,"Answer: She is in the office.

Question: Where is John?
Answer:",Where is Sandra? 
31,office,"Answer: He went to the bathroom.

Question: Where is Daniel?
Answer:",Where is Daniel? 
32,bedroom,"Answer: John went to the office.

Question: Where is Daniel?",Where is John? 
33,office,"Answer: She went to the office.

Question: Where is John?",Where is Sandra? 
34,kitchen,"Answer: She went to the office.

Question: Where is John?",Where is Sandra? 
35,hallway,"Answer: He is in the bathroom.

Question: Where is John?
Answer:",Where is John? 
36,hallway,"Answer: He went to the bathroom.

Question: Where is Daniel?
Answer:",Where is John? 
37,garden,"Answer: He went to the bathroom.

Question: Where is John?",Where is Daniel? 
38,bedroom,"Answer: She went to the bathroom.

Question: Where is John?
Answer:",Where is Sandra? 
39,bedroom,"Answer: She went to the bathroom.

Question: Where is John?
Answer:",Where is Sandra? 
40,bedroom,"Answer: John went back to the kitchen.

[Illustration: John went back to",Where is John? 
41,office,"Answer: He went back to the kitchen.

Q. Where is Daniel?
A",Where is Daniel? 
42,office,"Answer: He went back to the kitchen.

Q. Where is Daniel?
A",Where is Daniel? 
43,kitchen,"Answer: John went to the kitchen.

Question: Where is John?",Where is John? 
44,hallway,"Answer: He went to the kitchen.

Question: Where is Daniel?
Answer:",Where is Daniel? 
45,office,"Answer: She is in the kitchen.

Question: Where is the kitchen?",Where is Sandra? 
46,bathroom,"Answer: She is in the kitchen.

Question: Where is John?",Where is Mary? 
47,bathroom,"Answer: She is in the kitchen.

Question: Where is John?
Answer:",Where is Sandra? 
48,kitchen,"Answer: Mary travelled to the kitchen.

Question: Where is Mary?",Where is Mary? 
49,bedroom,"Answer: He is in the kitchen.

Question: Where is John?
Answer:",Where is Daniel? 
50,hallway,"Answer: John is in the hall.

Question: Where is the hall?",Where is John? 
51,kitchen,"Answer: John went to the hallway.

Q. Where is John?
A.",Where is John? 
52,kitchen,"Answer: She is in the kitchen.

Question: Where is John?
Answer:",Where is Sandra? 
53,kitchen,"Answer: She went to the kitchen.

Question: Where is John?",Where is Mary? 
54,office,"Answer: She is in the kitchen.

Question: Where is John?
Answer:",Where is Sandra? 
55,office,"Answer: He is in the office.

Question: Where is Daniel?
Answer:",Where is John? 
56,kitchen,"Answer: He went to the office.

Q. Where is Daniel?
A.",Where is John? 
57,garden,"Answer: She is in the kitchen.

Question: Where is Daniel?
Answer:",Where is Sandra? 
58,kitchen,"Answer: She went to the bathroom.

Question: Where is Daniel?
Answer:",Where is Sandra? 
59,bedroom,"Answer: John went back to the office.

Question: Where is John?",Where is John? 
60,hallway,"Answer: She is in the bathroom.

Q. What is the use of the",Where is Mary? 
61,bathroom,"Answer: He went to the bathroom.

Question: Where is Mary?
Answer:",Where is Daniel? 
62,bathroom,"Answer: John went to the bathroom.

Question: Where is Mary?
Answer:",Where is John? 
63,bedroom,"Answer: She went to the bathroom.

Question: Where is John?
Answer:",Where is Mary? 
64,garden,"Answer: She went to the bathroom.

Question: Where is Mary?",Where is Mary? 
65,garden,"Answer: He was in the garden.

Question: Where is Mary?",Where is Daniel? 
66,bathroom,"Answer: She went to the bathroom.

[Illustration: The following is a translation",Where is Mary? 
67,bathroom,"Answer: He went back to the garden.

Question: Where is Daniel?",Where is Daniel? 
68,hallway,"Answer: She went to the bathroom.

Question: Where is John?",Where is Mary? 
69,kitchen,"Answer: She went to the kitchen.

Question: Where is John?
Answer:",Where is Sandra? 
