,target,output,question
0,office,"Answer: In the garden.

Q. Where was the apple before the horse?",Where was the apple before the bathroom? 
1,office,"Answer: In the garden of the King of Kings.




CHAPTER XVI",Where was the apple before the hallway? 
2,office,"Answer: In the apple-tree.

Question: Where was the apple before the",Where was the apple before the hallway? 
3,bathroom,"Answer: In the garden.

[34] The name of the garden is now",Where was the football before the garden? 
4,bathroom,"Answer: In the garden.

Question: Where was the garden before the garden?",Where was the football before the garden? 
5,garden,"Answer: In the garden.

Q. What was the name of the garden?",Where was the apple before the bathroom? 
6,kitchen,"Answer: In the house of the King.

Question: How did the King get",Where was the milk before the office? 
7,kitchen,"Answer: In the garden.

Question: Where was the apple before the office?",Where was the apple before the office? 
8,kitchen,"Answer: In the garden.

Question: Where was the apple before the garden?",Where was the apple before the office? 
9,bedroom,"Answer: In the
kitchen.

Question: Where was the apple before the kitchen?",Where was the apple before the office? 
10,garden,"Answer: In the garden.

""What is the meaning of that?""",Where was the apple before the bedroom? 
11,garden,"Answer: In the garden.

""I am sure you are mistaken, and I",Where was the apple before the bedroom? 
12,garden,"Answer: In the kitchen.

Question: What was the milk?

Answer",Where was the milk before the bathroom? 
13,garden,"""I'll run right home now,"" repeated Jimmy, and he was about to go when",Where was the milk before the bathroom? 
14,garden,"Answer: In the kitchen.

Q. What was the name of the place?",Where was the milk before the bathroom? 
15,kitchen,"Answer: In the garden.

Question: Where was the ball?
Answer: In",Where was the football before the garden? 
16,kitchen,"Answer: In the garden.

""I was in the garden, and I heard the bell",Where was the football before the garden? 
17,garden,"Answer: In the kitchen.

""I am afraid that the milk is not in",Where was the milk before the bedroom? 
18,garden,"Answer: In the kitchen.

Question: Where was the milk before the bedroom?",Where was the milk before the bedroom? 
19,bedroom,"Answer: In the gymnasium.

Q. What was the time of the",Where was the football before the bathroom? 
20,garden,Answer: In the old-time days when the old-time old-time old-,Where was the football before the hallway? 
21,garden,"Answer: In the
office.

The question was put to the company, and they answered",Where was the football before the office? 
22,hallway,"Answer: In the garden.

Question: Where was the football before the garden?",Where was the football before the garden? 
23,office,"Answer: In the
kitchen.

Question: Where was the milk before the kitchen?",Where was the milk before the kitchen? 
24,kitchen,"Answer: In the kitchen.

Q. What was the milk? A. The milk of",Where was the milk before the bedroom? 
25,bathroom,THE BALLAD OF THE BALLAD OF THE BALLAD OF THE BALL,Where was the football before the bedroom? 
26,office,"Answer: In the hall of the first story.

[Illustration: ""He was",Where was the football before the bedroom? 
27,garden,"Answer: The office was in the basement.

Question: What was the name of",Where was the football before the office? 
28,garden,"Answer: The office was the office.

Question: What was the office?",Where was the football before the office? 
29,garden,"Answer: In the garden.

[Illustration: The _fang-hiang",Where was the apple before the office? 
30,bathroom,"Answer: In the kitchen.

Question: What was the name of the apple?",Where was the apple before the hallway? 
31,office,"Answer: In the
kitchen.

Question: What was the name of the school?",Where was the apple before the kitchen? 
32,office,"Answer: In the garden.

Question: Where was the apple before the kitchen?",Where was the apple before the kitchen? 
33,hallway,"Answer: In the kitchen.

Question: Where was the milk before the kitchen?",Where was the milk before the bedroom? 
34,bedroom,"[Footnote 305: The ""Plea"" of the King.--Ver. The King",Where was the milk before the garden? 
35,hallway,"Answer: In the garden of the Achelous.

[Footnote 592:",Where was the apple before the bathroom? 
36,hallway,"Answer: In the dining-room.

Question: Where was the football before the dining",Where was the football before the kitchen? 
37,bathroom,"Answer: In the garden.

Q. What was the name of the lady who was the",Where was the apple before the kitchen? 
38,garden,"Answer: In the garden.

Question: Where was the apple before the garden? Answer:",Where was the apple before the bathroom? 
39,garden,"Answer: In the garden.

""And where is the garden?""

""",Where was the apple before the bathroom? 
40,garden,"Answer: In the yard.

Q. What was the name of the place?",Where was the football before the hallway? 
41,garden,"Answer: In the
kitchen.

Question: Where was the football before the kitchen?",Where was the football before the hallway? 
42,garden,"Answer: In the kitchen.

Question: Where was the milk before the kitchen?",Where was the milk before the hallway? 
43,hallway,"Answer: In the kitchen.

Question: Where was the milk before the bath?",Where was the milk before the bathroom? 
