,target,output,question
0,bedroom,Answer: The bathroom is the room on the right of the hall. It is a,What is the bathroom east of?
1,bedroom,"Answer: The kitchen.




CHAPTER XIV

_A Visit to the Farm",What is west of the kitchen?
2,bathroom,"Answer: The north-east.

[Footnote 521: The 'praet",What is north of the garden?
3,bedroom,Answer: The kitchen is south of the _pusillanimus_ or 'p,What is south of the kitchen?
4,bedroom,"Answer: The kitchen is the part of the house which is situated on the east
side",What is east of the kitchen?
5,garden,"Answer: The bathroom is the west end of the nave, and is a large",What is the bathroom west of?
6,kitchen,[311] The plan of the cathedral at Florence is given in Woodcut No.,What is east of the bedroom?
7,bathroom,Answer: The garden is south of the house. The house is south of the garden.,What is the garden south of?
8,kitchen,"Answer: The office is south of the bank of the Nile.

Question: What",What is south of the office?
9,office,"Answer: The _Hukumdaria_ or Palace.

The Palace is",What is east of the hallway?
10,garden,"Answer: The north of the
Egyptian army.

Question: What is the north",What is north of the office?
11,garden,"Answer: The north-east corner of the
house.

Question: What is the name",What is south of the kitchen?
12,bathroom,"Answer: The east of the kitchen is the east of the house.




CHAPTER X",What is east of the kitchen?
13,garden,"Answer: The place where the fire is.

Question: What is the place where",What is west of the kitchen?
14,garden,"and other things, yet I have not yet made them so clear, as to make",What is north of the bedroom?
15,garden,"Answer: The east is the north-east.

Question: What is the north",What is east of the hallway?
16,hallway,"Answer: The north-east.

Question: What is west of the office? Answer:",What is east of the office?
17,office,"Answer: The north of the bathroom.

[41] The question is, What",What is south of the bathroom?
18,garden,"Answer: The bedroom is the north of the house.

Question: What is the",What is the bedroom north of?
19,garden,"Answer: The kitchen is the part of the house opposite the door.

[Illustration",What is the kitchen west of?
20,garden,"Answer: The office is on the west side of the building.

“What is",What is the office east of?
21,garden,"Answer: The bathroom is in the temple.

Question: What is the trap for",What is the bathroom south of?
22,bathroom,"Answer: The kitchen.

""She has a strong objection to the kitchen, too",What is north of the bedroom?
23,bathroom,"Answer: The bedroom is the room in which the family is assembled.

[Illustration",What is the bedroom south of?
24,hallway,"Answer: The bedroom is the
side-room.

Question: What is the room in",What is the bedroom west of?
25,office,"Answer: The ancient city of Rome.

Question: What is the name of the",What is east of the bathroom?
26,office,"Answer: The north is the land of the Hebrews, and the south is the land",What is north of the bedroom?
27,hallway,"Answer: The west of the bathroom is the west of the continent.

""The",What is west of the bathroom?
28,garden,"Answer: The bathroom is a room in which the women are kept, and the
men",What is the bathroom north of?
29,garden,"Answer: The north of the world.

Question: What is the difference between the",What is north of the office?
30,bedroom,"Answer: The kitchen is east of the bedroom.

Question: What is the kitchen",What is east of the kitchen?
