,target,output,question
0,football,"Answer: The letter is not extant.

The letter is a long, elaborate,",What did Fred give to Jeff? 
1,Fred,"Answer: The same who gave the football to Pocahontas.

""",Who gave the football to Jeff? 
2,football,"Answer: ""A good-sized stone.""

""What did you give him?""",What did Fred give to Jeff? 
3,Jeff,"Answer: _Don Pedro_!""

""Don Pedro!"" repeated the old man,",Who did Fred give the football to? 
4,Fred,"""I don't know,"" said Fred. ""I don't think he ever gave me",Who did Jeff give the football to? 
5,Jeff,"Answer: The Quandary.

Question: Who gave the apple?",Who gave the apple? 
6,Bill,"Answer: Connor O’Rourke.

Question: Who gave the apple to",Who received the apple? 
7,apple,"Answer: A piece of the apple.

Question: What did Bill give to Fred",What did Bill give to Fred? 
8,apple,"Answer: A piece of white cotton cloth.

Question: What did Bill give to",What did Bill give to Fred? 
9,Fred,Answer: Stella Hassy. Answer: Stella Hassy received the apple. Answer: St,Who received the apple? 
10,Mary,"Answer: The girl who received it.

Question: Who was the teacher?",Who received the milk? 
11,milk,"Answer: She gave him the milk.

Question: What did Bill give to Mary",What did Mary give to Bill? 
12,Bill,"Answer: M. and S.

Question: Who gave the milk?",Who received the milk? 
13,Bill,"Answer: Miss R.

Question: Who did she give it to?",Who did Mary give the milk to? 
14,milk,"Answer: A piece of wool.

Question: What did Bill give to Mary?",What did Mary give to Bill? 
15,Jeff,"Answer: The Lycosa.

Question: What is the Lycosa?",Who received the football? 
16,Fred,"Answer: Jeff.

Question: Who gave the football to Tom?

Answer",Who gave the football to Jeff? 
17,football,"Answer: A piece of bread.

Question: What did Fred give to Jeff? Answer:",What did Fred give to Jeff? 
18,Jeff,"Answer: Jeff.

Question: Who received the football?

Answer: Jeff",Who received the football? 
19,Mary,"Answer: Mary.

Question: Who gave the milk?

Answer: Mary",Who gave the milk? 
20,milk,"Answer: ""A bottle of milk."" Jeff went to the bathroom. Mary journeyed to the office",What did Jeff give to Mary? 
21,Mary,"Answer: Fred.

Question: Who gave the milk to Jeff?

Answer",Who gave the milk to Jeff? 
22,Mary,"Answer: The cook.

Question: Who gave the milk to Jeff?",Who gave the milk to Jeff? 
23,Bill,"Answer: Bill travelled to the bathroom. Bill passed the apple to Jeff.

Question",Who gave the apple to Jeff? 
24,Jeff,"Answer: Jeff.

Question: Who gave the apple?
Answer: Jeff.",Who gave the apple? 
25,apple,"Answer: A glass of water.




CHAPTER XIV

THE SILVER",What did Jeff give to Fred? 
26,Fred,"Answer: Jeff.

Question: Who received the apple?

Answer: Jeff",Who received the apple? 
27,Jeff,"Answer: Jeff.

Question: Who gave the apple to Jeff?

Answer",Who received the apple? 
28,Jeff,"Answer: Freddy Jourdain.




THE BATTLE OF THE BULL RUN",Who gave the apple? 
29,Fred,"Answer: The doctor.

Question: What did he say to Jeff?",Who did Jeff give the apple to? 
30,Mary,"Answer: The human mind.

Question: What is the human mind?",Who gave the milk? 
31,Bill,"Answer: Mary.

Question: What did Mary do? Answer: She gave the milk.",Who gave the milk? 
32,Bill,"""Quand les rois se rappelèrent à Vienne en 1814,",Who gave the milk to Mary? 
33,milk,"Answer: A piece of the ""sidewalk.""

""What did Bill give to",What did Bill give to Mary? 
34,apple,"Answer: ""I don't know,"" she said, with a faint smile. ""I",What did Mary give to Fred? 
35,Jeff,"Answer: Fred gave it to Jeff.

""I'm glad you're not a",Who did Fred give the milk to? 
36,Jeff,"Answer: Jeff.

Question: Who did Fred give the milk to? Answer: Jeff.",Who did Fred give the milk to? 
37,milk,"Answer: ""A horse.""

[Illustration: ""A horse.""]",What did Jeff give to Mary? 
38,milk,"Answer: A piece of bread.

Question: What did Mary give to Jeff? Answer:",What did Jeff give to Mary? 
39,Fred,"Answer: Bill.

Question: Who gave the apple?

Answer: Bill",Who gave the apple? 
40,Mary,"Answer: The milk was sent to the garden, and the butter to the kitchen.",Who gave the milk? 
41,milk,"Answer: She gave him a piece of silver, and a piece of gold, and a",What did Mary give to Fred? 
42,Jeff,"Answer: Fred.

Question: Who gave the milk?

Answer: Fred",Who gave the milk? 
43,Fred,"""I am not a man of the world, and I have no right to judge of",Who received the milk? 
44,Mary,"Answer: Fred.

""The milk was not yours, sir. It was the",Who gave the milk? 
45,Bill,"Answer: The soldiers.

BLAIR, OF MISSOURI",Who did Mary give the milk to? 
46,milk,"Answer: She gave him the apple.




CHAPTER XIV

THE FIRST WAR IN",What did Mary give to Bill? 
47,Mary,"Answer: The Confederates.

Question: Who gave the milk?
Answer:",Who gave the milk? 
48,Mary,"Answer: The soldier on guard.

Question: Who was the soldier on guard? Answer:",Who did Bill give the milk to? 
49,Bill,"Answer: The Confederates.

Question: Who gave the milk to Mary?",Who gave the milk to Mary? 
50,Mary,"Answer: The gardener.

Q. What was the gardener's name?",Who gave the apple to Fred? 
51,Fred,"Answer: Fred.

Question: Who gave the apple to Fred? Answer: Fred.",Who gave the apple to Mary? 
52,apple,"Answer: A large piece of wood, about
four inches in length, and about two inches in",What did Fred give to Mary? 
53,apple,"Answer: A piece of paper, with the following inscription:

   ""The most generous",What did Mary give to Jeff? 
54,apple,"Answer: A piece of bread and butter.

Question: What did she give to",What did Mary give to Jeff? 
55,Fred,"Answer: I did.

Q. What did he do with it?",Who received the football? 
56,football,"Answer: “A little money, and a little money to pay the bill.”",What did Bill give to Fred? 
57,Bill,"Answer: Mary.

Question: Who gave the apple?

Answer: Mary",Who gave the apple? 
58,Bill,"Answer: Mary gave it to Jimmie.

Question: Who did Jimmie give",Who did Mary give the apple to? 
59,Jeff,"Answer: Jeff.

Question: What did he give the boy?

Answer",Who did Bill give the apple to? 
60,Jeff,"Answer: The Indian who had been in the teepee.

""What did he",Who did Bill give the apple to? 
61,Bill,"""been established between them. Jeff was a man of great energy and
determination, and",Who gave the apple to Jeff? 
62,Jeff,"Answer: Eric and Emilius.

Question: Who gave the apple to Jeff",Who gave the apple to Bill? 
63,Bill,"Answer: Jeff.

""I am glad to see you so well,"" said Mary.",Who received the apple? 
64,Mary,"Answer: The poet.

Q. What was the name of the poet?",Who gave the milk? 
65,Mary,"Answer: The poet.

Q. What was the apple?

A.",Who gave the apple to Bill? 
66,Bill,Answer: The woman who had been seen to pass the apple to the footman.,Who did Mary give the apple to? 
67,Mary,"Answer: Bill gave it to Fred.

Question: Who gave Bill the apple?",Who did Bill give the apple to? 
68,apple,"Answer: A black bean.

""What did Mary give to Bill?""",What did Bill give to Mary? 
69,Mary,"Answer: Bill.

Question: Who did Bill give the apple to?",Who did Bill give the apple to? 
70,apple,"Answer: A football.

Question: What did Jeff give to Fred?",What did Fred give to Jeff? 
71,Jeff,"Answer: The girl.

Question: How did she get to Lonua?",Who gave the football? 
72,Jeff,"Answer: The proprietor of The Vermont House.

Question: Who gave the apple",Who gave the football? 
73,apple,"Answer: The apple.

""I've been thinking,"" Tom said, ""that we might",What did Fred give to Bill? 
74,apple,"Answer: The apple.

Question: What did Bill give to Fred?",What did Fred give to Bill? 
75,Fred,"Answer: The Lord Jesus Christ.

Question: Who gave the football?",Who gave the football? 
76,Fred,"“I’ll be very, very careful, mamma,” Ruby repeats, and then",Who gave the football? 
77,Mary,"Answer: The clubman who had the football.

Question: Who was the clubman",Who received the football? 
78,Mary,"Answer: The man who had the revolver.

Question: Who gave the football",Who gave the football? 
79,football,"Answer: She gave him a little money.

Bill went back to the kitchen.",What did Mary give to Fred? 
80,milk,"Answer: 'I don't know,' said Jeff.

Question: What did Fred",What did Fred give to Jeff? 
81,milk,Answer: He gave him a lot of money. Jeff went to the kitchen. He did,What did Fred give to Jeff? 
82,Fred,"Answer: Jeff gave the milk to Mr. Fred.

'I am glad to see",Who did Jeff give the milk to? 
83,milk,"Answer: The milk.

Coningsby, who had been listening to the conversation",What did Jeff give to Fred? 
84,Jeff,"Answer: The priesthood.

Question: Who gave the milk to Jeff?",Who gave the milk to Fred? 
85,Fred,"Answer: The Church.

Question: What was the Church?

Answer:",Who did Mary give the apple to? 
86,Fred,"Answer: Mary.

Lord ROSEBERY'S Secretary writes that ""the",Who gave the apple to Mary? 
87,Mary,"Answer: A man who was a friend of the apple-seller.

[",Who gave the apple? 
88,Jeff,"Answer: Jeff.

_Thursday._--The SQUIRE of MALWOOD",Who did Mary give the apple to? 
89,Jeff,"Answer: I did.

Question: Who sent it?

Answer: I",Who received the football? 
90,football,"Answer: She gave it to him.

Question: What did she give him?",What did Mary give to Jeff? 
91,Mary,"Answer: The first player, who was a boy of about twelve years of age. He",Who received the football? 
92,Mary,"Answer: The Assyrians.

QUESTION: Who gave the lyre?",Who gave the football? 
93,Jeff,"Answer: The first person who gave it to her was the first person who
received it",Who did Mary give the football to? 
94,Bill,"Answer: Bill.

The following is a list of the names of the students at McGraw",Who did Fred give the apple to? 
95,Jeff,"Answer: Lydia.

Question: Who gave the apple to Angeline?",Who did Mary give the apple to? 
96,Mary,"Answer: Jeff.

Question: What did Jeff say?

Answer: Jeff",Who gave the apple to Jeff? 
97,apple,"Answer: ""A few months' leave.""

The following letter, written in the",What did Jeff give to Fred? 
98,Fred,"Answer: The slave-hunter.

Question: Who did Jeff give the apple",Who did Jeff give the apple to? 
99,milk,"Answer: A _bottle_ of wine.

Question: What did he",What did Bill give to Mary? 
100,Bill,"Answer: The Consul.

Question: Who gave the apple to the Consul",Who did Mary give the apple to? 
101,Bill,"Answer: The man who brought it.

""We'll get out of this very",Who received the apple? 
102,Fred,"Answer: Bill.

""I'll have a fire in a jiffy.",Who gave the apple? 
103,Bill,"Answer: Bill.

""Bill went to the bathroom. He went to the window",Who gave the apple? 
104,apple,"Answer: A lump of sugar.

Question: What did Mary give to Bill? Answer:",What did Mary give to Bill? 
105,Jeff,"Answer: The man who had the letter, and who was the first to receive it.",Who received the milk? 
106,Mary,"Answer: The cow.

[Illustration: VETERINARY]",Who gave the milk? 
107,Jeff,"Answer: She gave it to the cow.

Question: What was the cow's",Who did Mary give the milk to? 
108,football,"Answer: ""A dollar.""

""A dollar!"" repeated Bill. ""Why,",What did Bill give to Mary? 
109,Mary,"Answer: I did.

Question: What did she say?

Answer:",Who gave the football? 
110,apple,"Answer: The apple.

The apple was the apple of the world. It was",What did Jeff give to Mary? 
111,apple,"Answer: The Bible.

""The Bible,"" says Paine, ""is the",What did Jeff give to Mary? 
112,Mary,"Answer: Mary.

Question: What did Mary give the apple to Jeff?
Answer",Who gave the apple? 
113,Mary,"Answer: The old man.

Question: What was the name of the woman?",Who gave the apple? 
114,Mary,"Answer: The Pope, who is the head of the Church.

""The Pope",Who received the apple? 
115,Bill,"Ans: The slave-dealer.

""What is the price of a",Who gave the milk? 
116,milk,"Answer: A bottle of rum.

Question: What did Bill give to Mary? Answer:",What did Mary give to Bill? 
117,Bill,"Answer: No. 1.

Question: Who did No. 2 give the milk to",Who did Mary give the milk to? 
118,milk,"2nd.--_The large carcass_, containing 12 lbs. of carcass composition,",What did Bill give to Mary? 
119,Mary,"Answer: The milk was given to the milkman.

Question: Who gave the milk",Who did Bill give the milk to? 
120,milk,"Answer: A silver casket, with a silver casket lid.

""What",What did Mary give to Bill? 
121,Mary,"Answer: Chantel.

Question: Who gave the milk?

Answer",Who gave the milk? 
122,Mary,"Answer: Buckner.

""I will go over there and see what I can",Who gave the milk? 
123,Jeff,"Answer: The boy who was in the office.

Question: Who was the man",Who did Bill give the football to? 
124,Bill,"Answer: I did.

""I was about to leave the room, when I",Who gave the football to Jeff? 
125,Jeff,"Answer: Jeff.

Question: Who received the football?

Answer: Jeff",Who received the football? 
126,Jeff,"Answer: The man who had been the victim of the fraud.

""I am",Who gave the football to Bill? 
127,football,"Answer: 100 parts of dry bone,
Bergmann found in the

                       Bergmann",What did Jeff give to Bill? 
128,football,"Answer: The quantity of lime in the urine.

Q. What did Jeff give",What did Jeff give to Bill? 
129,apple,"Answer: ""A little apple.""

Question: What did Mary give to Fred?",What did Fred give to Mary? 
130,Bill,"Answer: I did not.

Question: Who gave it to you?",Who received the apple? 
131,apple,"Answer: A good horse, a good saddle, and a good saddle-girth.",What did Mary give to Bill? 
132,apple,"Answer: She gave him a new heart.




CHAPTER XXII

THE L",What did Mary give to Bill? 
133,apple,"Answer: She gave him a large, handsome, and very valuable watch.

Con",What did Jeff give to Mary? 
134,Fred,"Answer: Mary.

Question: Who gave the apple?

Answer: Mary",Who gave the apple? 
135,football,"Answer: A 'prentice hand.

""It's a' a'",What did Fred give to Jeff? 
136,football,"Answer: A' the medicine he could lay his hands on, and a' the physic",What did Fred give to Jeff? 
137,Jeff,"Answer: Bill.

""He's a bonny lad,"" said Mrs. Mac",Who gave the football? 
138,Fred,"Answer: Bill.

""Bill went back to the bedroom. Bill went to the",Who did Jeff give the football to? 
139,football,"Answer: The football.

Q. What did she give to Fred?",What did Fred give to Mary? 
140,football,"Answer: A piece of cloth.

""What did she give him?""",What did Jeff give to Mary? 
141,Mary,"Answer: Jeff.

Question: What did he do with it?

Answer",Who received the football? 
142,football,"Answer: She gave him a book.

Question: What did she give him?",What did Mary give to Jeff? 
143,Jeff,"Answer: A friend of Bill's.

Question: Who gave the football to Bill",Who gave the football? 
144,Bill,"Answer: Fred.

""What is your name?""

""Fred.""",Who received the apple? 
145,Fred,"Answer: Jacko.

_March_ 30.--I have just read the following letter from",Who received the apple? 
146,Fred,"Answer: The monkey.

""The monkey was a very handsome animal, and the",Who received the apple? 
147,Mary,"Answer: Mary.

""Well, Eily, I'm not
<context",Who did Bill give the football to? 
148,Bill,"Answer: Mary.

Question: Who gave the ball to O'Shaughness",Who gave the football to Mary? 
149,Fred,"Answer: Fred.

Question: Who received the ball?

Answer: Fred",Who received the football? 
150,Bill,"Answer: Jeff.

Question: What did he do with it?

Answer",Who received the apple? 
151,Jeff,"Answer: Bill.

Question: Who gave the apple to Jeff?

Answer",Who gave the apple to Bill? 
152,Bill,"Answer: Mr. J. Wilkes Booth.

_April_ 27.--The",Who received the apple? 
153,Bill,"Answer: I did.

Question: Who gave the apple to Morse?",Who gave the apple to Jeff? 
154,apple,"Answer: The apple.

Bill went to the kitchen. Bill went to the bedroom",What did Bill give to Jeff? 
155,football,"Answer: A half-turn to the right, and a half-turn to the left",What did Mary give to Bill? 
156,football,"Answer: A piece of white cotton.

[Illustration]


THE BOST",What did Mary give to Bill? 
157,Mary,"Answer: Bill.

[Illustration: FIG. 1.--Diagram of the muc",Who did Bill give the football to? 
158,football,"Answer: A piece of bread.

Question: What did Mary give to Bill?",What did Bill give to Mary? 
159,Bill,"Answer: Bill.

""I don't know,"" said Mandy. ""I",Who received the apple? 
160,Bill,"Answer: The girl.

""I don't know,"" said the doctor. """,Who did Fred give the apple to? 
161,apple,"Answer: A piece of paper, which he took from his pocket and gave to Bill.",What did Fred give to Bill? 
162,apple,"Answer: A piece of paper, which he gave to Bill to write on.",What did Fred give to Bill? 
163,Fred,"Answer: The Pope.

Question: Who gave the apple?

Answer:",Who gave the apple? 
164,Jeff,"Answer: The penitent sinner.

Question: Who gave the apple?",Who received the apple? 
165,Jeff,"Answer: The sick man.

_The Anointing._

The An",Who received the apple? 
166,Jeff,"Answer: The mother.

  ""I have a little apple,
    I have a little",Who received the apple? 
167,Jeff,"Answer: Jeff.

Question: Who received the apple?
Answer: Jeff.",Who received the apple? 
168,apple,"A. A piece of bread.
    B. A piece of butter.",What did Mary give to Jeff? 
169,Bill,"Answer: Fred received the milk.

Question: Who gave the milk to Fred?",Who gave the milk to Fred? 
170,football,"Answer: She gave him a pair of shoes.

Question: What did she do",What did Mary give to Bill? 
171,Bill,"Answer: Mary gave it to the <DW64>s.

Question: What",Who did Mary give the football to? 
172,football,"Answer: A ball.

Question: What did she give him?

Answer",What did Bill give to Mary? 
173,football,"Answer: A piece of bread.

Question: What did he give to Minnie",What did Bill give to Mary? 
174,Mary,"Answer: Bill gave it to me.

""The man who gave it to me",Who did Bill give the football to? 
175,football,"Answer: ""A lot of money."" ""What did you give him?"" ""A lot of money",What did Jeff give to Bill? 
176,football,"Answer: A dollar's worth of his own personal stock.

""And what did",What did Bill give to Mary? 
177,Mary,"Ans: Bill.

Question: What did he do with it?",Who received the football? 
178,Bill,"Answer: The Major.

Question: Who gave the football?

Answer:",Who gave the football? 
179,football,"Answer: Bill gave the football to Fred.

Question: What did Fred give to Bill?",What did Bill give to Fred? 
180,Fred,"Answer: The boy.

Q. What was the boy's name?",Who gave the milk to Jeff? 
181,milk,"Answer: The milk.

[Footnote 545: The 'cæstus'",What did Jeff give to Mary? 
182,Mary,"Answer: The man who received it.

Question: Who gave it to the woman",Who received the milk? 
183,Mary,"Answer: Fred.

[Illustration: _The milk is not good for eating._",Who gave the milk? 
184,Fred,"Answer: Fred received the milk.

Question: What did he do with it?",Who received the milk? 
185,football,"I love to live. There are ten thousand cords
          Which bind my soul to life",What did Mary give to Bill? 
186,football,"Answer: A pound of cheese.

Question: What did Bill give to Asaph? Answer",What did Mary give to Bill? 
187,football,"Ans: She gave him a good deal of money.

Q: What did",What did Mary give to Bill? 
188,Bill,"Answer: The club.

""I don't know,"" Tom said, ""but",Who gave the football? 
189,football,"Answer: A picture.

""Well, I guess I'll have to go,""",What did Bill give to Mary? 
190,Fred,"Answer: Jeff.

Question: Who gave the football to Jeff?

Answer",Who gave the football? 
191,Fred,"Answer: Jeff left the football.

Question: Who gave the football to Jeff?",Who gave the football to Jeff? 
192,football,"Answer: ""The football.""

""What did the train give to Jeff?""",What did Fred give to Jeff? 
193,apple,"Answer: He gave him a football.

Question: What did Fred give to Bill",What did Bill give to Fred? 
194,Bill,"Answer: The gentleman who presided over the hotel.

Question: Who gave the",Who gave the apple to Fred? 
195,milk,"_He walks up and down the room._

JEANNE

I don",What did Mary give to Bill? 
196,Mary,"Answer: Mary.

MARY

I did not give it. I did not",Who gave the milk? 
